english,italian,source_files
"(Pretend to act like a tyrannical magic-man with a big stick, then pretend to use magic to mind control your followers, then pretend to show how those followers slowly overcome you as way better Arcanists come into power through a fair system of meritocracy during the Arcane Era.)",,sharedassets20.assets
"You get a feeling of unease as you imagine this from her perspective. A formidable woman with lots of pride. Her accomplishments are glorious. She's achieved so much yet she's sitting here, performing this meaningless task?",,sharedassets4.assets
"This was a period when national borders didn't really exist yet. It was more of a... pseudo-feudal thing going on. Royalty owning land, and the serfs on it. Not so much 'folk belonging to nationstates' as we see it today.",,sharedassets1.assets
Î̶̼͠s̵̯̀ ̵͎̯̅a̷̖̿̋n̸̺͗̾y̶̛͜ť̵͎̕ḧ̵̬̚í̴̦n̴͙͓̉g̶̞̈̀͜ ̷̤̻̄p̵̫͙̾̉e̶͔̐̄r̷̥̈́m̸̫̤̒i̶͕͉͆͝ṫ̶̺t̴̜͇̓͗e̵̢̟̿͘ḏ̶̾ ̶̞̞̋í̴̦̃n̸̨̥̓͝ ̶̤̒̔á̸̜̻̽ ̸̛̝͇g̴̡̲͑ö̵̩́̒ő̷̻̝͝d̵͔̆͒ ̶̖̀͛m̷͙̉a̴̩͌͝n̴̦̟̑̔'̴̲͛s̵̥̤̕ ̴͚̈q̶͙̫̅ú̶͉ẽ̶͉̘s̴͙͖͊̃ẗ̵̩́?̵͇̫͘,,"sharedassets20.assets, sharedassets7.assets"
"Most of their states were essentially built upon aristocratic structures. Feudal states, turned magocratic. Wizards need esoteric educations, right? Who can afford such an education? A nobleman, that's who.",,sharedassets1.assets
"You realize her hand is a fair bit larger than yours, and something stings in your soul. Fragile as it is, a part of you has been bruised by the simple thought of her overwhelming power.",,"sharedassets18.assets, sharedassets4.assets"
"However, a corpse would never remain this intact over hundreds of years, without esoteric means. Most likely, these were adventurers from a later era who simply used that ancient helmet.",,sharedassets23.assets
"But what if it wasn't twenty people feeding a thousand people- what if it was five thousand people, making sure a hundred thousand people got fed their daily piece of fake bread?",,sharedassets1.assets
"If a city cleric comes up to someone and asks them for their political opinion, it would take a very special kind of person to not just say what the cleric wants to hear.\",,sharedassets4.assets
Just take it easy. You might have failed at getting the first two- or three-hundred people to like you. But you've got half a million other folks to fool in this city!,,sharedassets2.assets
"They are rare to find along the Coast, and are described as looking similar to the People of the Mountain: dark-skinned and stout, with clear red eyes and broad noses.",,sharedassets6.assets
"Hells, they had humans from all around the Coast <i>moving</i> - we're talking entire civilizations uprooted - just to go live in the modern world of the Arcanists.",,sharedassets1.assets
"There are compartments filled with ruined tin boxes. In the back, there's a complicated set of tubes and pipes combining into some type of tea-making machine.",,sharedassets8.assets
"I do scribin' most days. Got some connections within the Palace, and believe me, phew! That's gotten me through some tough times.\",,sharedassets4.assets
"There's an entrance to the Warehouse on the other roof. If you want to get inside, you're going to have to get past this bad boy.",,sharedassets19.assets
"As you get out of the fiery hallway, you see Snell rolling around on the ground, tapping his jacket to put out the scorched ends.",,sharedassets20.assets
"A true Freestrider is what you are, working so hard for the revolution. You know well: a bright future awaits in this new Norvik.",,sharedassets6.assets
Not unusual for well-off human men to vote for the Urthfolk-party. Although this fellow doesn't strike me as the religious kind.,,sharedassets0.assets
"Revivify is always easiest to cast in this exact scenario. Less than a minute from the time of death, with no missing parts.",,sharedassets24.assets
"Snell gives you an intense, mystified expression- the type that genuinely shows interest, confusion, and shock, all at once.",,sharedassets4.assets
"What a fascinating piece of lore to uncover. Unfortunate you cannot restore it to its rightful people. Not today, at least.",,sharedassets20.assets
"You watch the creature shake and snivel. Its flabby skin moving about freely, its glistening surface reflecting the light.",,sharedassets22.assets
"Trolls have strong regenerative capabilities, but shattering his bone like this will make that regrowth counter-effective.",,sharedassets23.assets
That is what a man does. He grabs a pike and goes to face the roaring troll. He gets his bones embedded into the pavement.,,sharedassets23.assets
"Then there's the <i>Hag</i>. Lisa is suspicious, but beyond her natural hag-ness, nothing seems to point in her direction.",,sharedassets6.assets
