ID,ENGLISH,ITALIAN
FEAT_LONE_STR,"Lone Cleric - At the start of your Short Rest, heal an additional amount equal to the levels of exhaustion you have.","Chierico Solitario - All'inizio del tuo Riposo Breve, cura un ammontare aggiuntivo pari ai livelli di sfinimento che possiedi."
FEAT_MEMORIZER_INT,"Master Memorizer - During your Short Rest, you restore two random spell slots instead of one.","Maestro Memorizzatore - Durante il tuo Riposo Breve, recuperi due slot incantesimo casuali invece di uno."
FEAT_COMPANY_CHA,"Friendly Company - During Short Rests, always roll Hit Die with advantage. Snell also gains an extra proficiency in his initiative rolls.","Compagnia Amichevole - Durante i Riposi Brevi, tira sempre i Dadi Vita con vantaggio. Anche Snell ottiene una competenza aggiuntiva nei tiri di iniziativa."
FEAT_PARANOIA_DEX,Infectious Paranoia - Advantage on initiative rolls.,Paranoia Contagiosa - Vantaggio sui tiri di iniziativa.
FEAT_SURVIVAL_CON,Survival of the Fittest - Advantage on Death Saving Throws.,Sopravvivenza del più Forte - Vantaggio sui Tiri Salvezza contro Morte.
FEAT_EYE_CHA,Reading the Room - Advantage on behold checks.,Leggere la Stanza - Vantaggio sulle prove di osservazione.
FEAT_LUCK_CHA,"Luck of the Fool - Whenever you roll a natural 1, reroll the d20 and take 1d4 damage. If the new result is also a natural 1, repeat this processes. This damage cannot take you below 1 HP.","Fortuna dello Stolto - Ogni volta che ottieni un 1 naturale, ritira il d20 e subisci 1d4 danni. Se il nuovo risultato è anche un 1 naturale, ripeti il processo. Questi danni non possono portarti sotto 1 PF."
FEAT_MUSH_DEX,"Dungeoneering Reflexes - Whenever you roll 10 or below, add an extra proficiency to the roll.","Riflessi da Esploratore - Ogni volta che ottieni 10 o meno, aggiungi una competenza extra al tiro."
FEAT_PROF_STR,"Professional Cleric - You cannot critically fail. (When you roll a natural 1, it is not treated as an automatic failure.)","Chierico Professionista - Non puoi fallire criticamente. (Quando ottieni un 1 naturale, non viene trattato come un fallimento automatico.)"
FEAT_BALANCE_INT,"Curved, Yet Balanced Bell - Whenever any d20 is rolled, the Strings of Jor causes the outcome to lean towards 10. The chance of critical rolls are diminished.","Campana Curva ma Equilibrata - Ogni volta che viene tirato un d20, le Corde di Jor fanno tendere il risultato verso 10. Le probabilità di tiri critici sono ridotte."
FEAT_BELLY_CON,Dark Belly of the Soul - Resistance to all damage when below 50% HP.,Ventre Oscuro dell'Anima - Resistenza a tutti i danni quando sei sotto il 50% dei PF.
FEAT_HJARTA_WIS,Hjârtat Mitt - Each level of exhaustion grants +1 to each d20 roll instead of -1.,Hjârtat Mitt - Ogni livello di sfinimento conferisce +1 a ogni tiro di d20 invece di -1.
FEAT_MAN_STR,"A Good Man - Whenever you survive a death saving throw, you get back up with 1d20 HP.","Un Brav'Uomo - Ogni volta che sopravvivi a un tiro salvezza contro morte, ti rialzi con 1d20 PF."
FEAT_FRAGILE_DEX,"Fragile Immortality - Do not roll Death Saving Throws. Whenever you are above 1 HP and take damage that would take you to 0, you go to 1. If you take any damage at 1, you die.","Immortalità Fragile - Non tirare Tiri Salvezza contro Morte. Ogni volta che sei sopra 1 PF e subisci danni che ti porterebbero a 0, vai a 1. Se subisci qualsiasi danno a 1 PF, muori."
