ID,ENGLISH,GERMAN
BG_AKZEL_5,Archeologist,
BG_ALFOZ_3,Foreman,
BG_ARN_1,Child Worker,
BG_AVIK_1,Proletariat,
BG_BOND_15,Demi-Lich,
BG_BORGO_13,Paladin,
BG_BRAXO_2,Scribe,
BG_BRR_4,Ranger,
BG_CHAMAR_2,Cleric,
BG_DARROW_3,Coinlord,
BG_DRUMMER_1,Entrepreneur,
BG_ETTIR_10,Angel,
BG_EVER_18,Trifler,
BG_FREY_5,Noble,
BG_GORM_12,Paladin,
BG_GOUR_9,Frost Troll,
BG_ISK_16,Wizard,
BG_IVCX_15,Decayed Solar,
BG_JEHANNE_1,Factory Worker,
BG_KRAAID_11,Barbarian,
BG_KULL_7,Warden,
BG_LISA_6,Hagling,
BG_MASKED_5,Assassin,
BG_MERI_6,Writer,
BG_MISKA_17,Chieftain,
BG_MODISSA_2,Writer,
BG_MOONGORE_3,Fighter,
BG_NEARLY_1,Bard,
BG_NESSAN_6,Druid,
BG_OLZIS_14,Gynosphinx,
BG_OST_9,Rogue,
BG_OYU_2,"Entrepreneur
",
BG_PINJA_2,Sorcerer,
BG_RAZZ_8,Rogue,
BG_RIX_3,"Entrepreneur
",
BG_ROLLO_1,Unemployed,
BG_SHEN_1,Scholar,
BG_SIMII_2,Factory Worker,
BG_SMARTER_1,Rogue,
BG_SNELL_3,Rogue,
BG_SNURRE_4,Scholar,
BG_STEN_1,"Unemployed
",
BG_THAL_3,Entrepreneur,
BG_TOLI_1,"Unemployed
",
BG_UNMASKED_5,Warlock,
BG_URTH_20,Cleric,
BG_NISSE_1,"Unemployed
",
BG_VIIRA_4,Fighter,
BG_VISKEN_17,Entrepreneur,
BG_XERBA_1,Service Worker,
IP_AKZEL_5_DEX,"This, right here, is the fourth pillar of the feudal system. A spelunking, delving, digging, roaming, true-blooded <i>ADVENTURER</i>.",
IP_AKZEL_10,"Though he's seen a lot of shit in his days, Akzel still has his glowing eyes set on the next prize - the true reward of a live on the trail - a <i>hoard</i>.",
IP_AKZEL_15,"He will find it, one day, some day. But not this day. Perhaps you will see him again? Who are you kidding, of course you will.",
IP_AKZEL_20,"His expertise in the City Below is not for nothing. You should keep him close. He'll be real useful if you ever wanna get into that freelance dungeoneering business. Seriously, there's a lot of money in that!",
IP_ALFOZ_5_CON,He stands by his ideals with gut and little else.,
IP_ALFOZ_10,A push will earn his respect. That is his way.,
IP_ALFOZ_15,Alfoz knows he is privileged. He hates it. His ideal clashes with his blood.,
IP_ALFOZ_20,At his core he fights for glory. Empathy does not spark his heart. He wants to earn admiration and LEGEND.,
IP_ARN_5_DEX,Kid's working his ass off. Getting that bread! He must be doing that optional weekend school.,
IP_ARN_10,He'll go far in life with that attitude. But that fire under his ass must've been lit by something fierce.,
IP_ARN_15,He's a jumpy fellow. A survivor. Type of kid that's used to making it on his own.,
IP_ARN_20,You relate to his fear. The kid doesn't want to end up like his old man - forgotten by time and space and the city.,
IP_ARN_25,"He's grieving. But he's keeping it together, for his brother. They both have ways of dealing with it. Arn will grow up to be a great capitalist.",
IP_AVIK_5_CON,A guy. Dwarf. Average height. Collected. Down to earth. True to his feelings. Decently smart. Chill. <i>Cool</i>. Nice to animals. Not much else to it.,
IP_AVIK_12,"Born from the Strings of Fates - the Fade Era remnant tyrants smile upon his step. For some very, very, very strange reason. This dwarf, if handed an object with a destiny set in stone, could automatically create <shake>FRAYS</shake>. Chaos. Madness. A new chance to roll the die.",
IP_AVIK_20,"He <i>is</i> the working class. A good Azgalist footsoldier. A loyal workers. This is the type of man who deserve a raise, so his salary meets his level of productivity.",
IP_BOND_2,A demi-lich.,
IP_BOND_8_INT,"An insane demi-lich. His mind having shattered many decades ago. However, his behavior (along with the simply fact that he exists down here in a relatively stable condition) suggests his madness has either not entirely set in, or that he is being shepherded. Perhaps by the pale man upstairs?",
IP_BOND_12,"You understand how to please him. His EGO is almost as big as his physical body is tiny, and he craves the feeling of superiority. In effect, he's a fairly good teacher, if you can stand the belittlement.",
IP_BOND_18,"This skull has seen more esoteric events, historical battles, and shifts in global power than even the grandest of dragons of the Fade Era. Keep on his good side, and you'll have a great repository of knowledge in the future here.",
IP_BORGO_2_STR,This is a true warrior.,
IP_BORGO_9,"He is off-duty. But whatever duty that is, it's everlasting.",
IP_BORGO_16,This dark knight can break you like a twig. Yet he will not. He is bound by an order - but why does it not affect you?,
IP_BORGO_21,Not a man. Not even corporeal. This is a silent yet shrieking wraith forced into enslavement by the darkness of this realm. There is something indescribably manly about self-control in such circumstances.,
IP_BRAXO_6_STR,Surprisingly content. Hard worker.,
IP_BRAXO_10,"Has a nested interest in the current regime. Devils used to be allowed into the city only on work visas, so he could have served for several decades.",
IP_BRAXO_15,Somehow you just know this devil would gladly organize a mass genocide against non-humans in this city.,
IP_BRAXO_18,This is no ordinary imp. His stature and position implies a former rank. A Greater Devil? What kind of game is he playing?,
