ID,ENGLISH,ITALIAN
Quest_1_1,The Tea Shop that Blew Up,
Quest_1_2,Your purpose on Tolstad is to investigate an exploded tea shop. Locate this establishment and gain entry.,
Quest_1_3,"The entrance to the tea shop has been shut by Coinlord Darrow. If you want to enter legally, you need his blessing.",
Quest_1_4,You've managed to get inside the Tea Shop. Time to investigate!,
Quest_1_5,"Clue: You found a magic metal brooch in the ruins. It was half-melted. No normal fire could ever harm a magic item, even a minor one like this.",
Quest_1_6,Clue: You found Kargameshian tea left in the ruined tea press. The state of the machine makes it clear someone was brewing at the time of the explosion.,
Quest_1_7,"Clue: The iron door to the back office was blown open after its hinges melted. That means the explosion surely originated from the central chamber, and that it was extremely hot.",
Quest_1_8,"Clue: You found a copy of The Undercommon, a magical magazine infamous for its indestructible paper.",
Quest_1_9,You found a corpse underneath the rubble. The corpse of an elf. You need to report this to Lady Sageleaf.,
Quest_1_10,"You convinced Lady Sageleaf that you're an idiot, thus allowing you to not contradict the city's official statement. On election day, you should speak with the Coinlord. He will be happy.",
Quest_1_11,You gave Lady Sageleaf what she needed - evidence to contradict the city's official statement. You've picked a side. The HBT will surely be in your favor now.,
Quest_1_12,Now for the crucial part: finding the responsible party. Who brought this Necklace of Fireballs to Norvik? Who used it? And why? You have until the election to figure it out.,
Quest_2_1,Dragon of Tolstad,
Quest_2_2,"You're here on request of Lady Sageleaf, a goblin chieftain in Tolstad. Go see her, right away. She's in the Goblin Garden, at the southern tip of Tolstad.",
Quest_2_3,"You've spoken with Lady Miska Sageleaf and begun a joint operation with one of her pawns, a goblin named Snell. Let's hope he doesn't get in your way too much.",
Quest_3_1,Coinlord's Meet,
Quest_3_2,"You do not have permission to enter the Tea Shop. You need authorization from the Magistrate of Tolstad: Coinlord Darrow. You know his mansion can be found up the hill, on central Tolstad.",
Quest_3_3,The Magistrate wants to have a meet with you. But he is busy during the day. His doors will be open when it gets dark.,
Quest_3_4,"You swore an oath to Coinlord Nicholas Darrow, in exchange for access to the tea shop. You serve your master well.",
Quest_3_5,"You refused to swear an oath to Coinlord Nicholas Darrow. He, in return, refused to give you access to the Tea Shop. You have to find another way in.",
Quest_3_6,"You managed to talk your way past the Coinlord, somehow. Now you've got access to the Tea Shop, and you didn't even have to agree to some sinister deal first. Nice!",
Quest_3_7,"You missed your meeting with the Coinlord. Instead, you were given a message by the angel, Ettir.",
Quest_4_1,Ruffled Feathers,
Quest_4_2,The owner of the tea shop is unaccounted for. Locate this bird-man and find out what he knows.,
Quest_4_3,The owner left his tea shop right before the explosion. He was last seen heading below.,
Quest_4_4,The owner of the tea shop was once drunkenly heard bragging about his secret escape plan: shipping himself in a crate to Reeds. You should check the warehouse on Waterlane View.,
Quest_4_5,"Drummer was hiding in a crate, set to be exported to Reeds. You found and interrogated him about his tea shop and his illegal smuggling operation. He told you there was a meeting planned between an information broker and a Freestrider right at the time of the explosion.",
Quest_4_6,"You let Drummer go, without taking his papers. Maybe he'll leave, or maybe he'll stay. Who knows?",
Quest_4_7,"You took Drummer's papers, making sure he won't leave the city too easily. Maybe he'll slip away anyway, or maybe he'll stick around. Who knows?",
Quest_5_1,The Star Witness,
Quest_5_2,"A 'Frank son of Frank' was seen on Pillar Road at the time of the explosion, but calmly walked downstairs afterwards. Locate and question this strange man dressed in yellow. Frank son of Frank is often used as a fake name by rich adventurers around the Coast.",
Quest_5_3,"A man dressed in yellow was seen by 'The Duck' in the City Below. This man passed by the entrance to the Crypt, heading into the Southern Caverns.",
Quest_5_4,"Arn, the kiosk kid, says a man in yellow was seen leaving the scene. He was heading down below. Also, he was interested in Freestrider-stuff...",
Quest_5_5,Moongore spotted a man in yellow heading through the City Below. He went through the South Caves.,
Quest_5_6,"Kraaid had an encounter with a human in yellow, who was looking for a 'secret door' to 'further below'.",
Quest_5_7,"Viira explained that a famous revolutionary, who is probably this man in yellow, is visiting Norvik during the election. She does not know where he is.",
Quest_5_8,"You found Meriadoc Moonwatch at the lowest point of Jor's Pillar, and rescued him from the horrific troll.",
Quest_5_9,"Moments after the explosion, Meriadoc saw an invisible 'smoky man' rush across the Crossing and then 'enter' the Pillar of Jor. Due to his magical sight, he saw through the veil, and swears it must be a half-open Gate of Jor.",
Quest_6_1,Gate of Jor,
Quest_6_2,"An invisible, 'smoking' man was seen entering the Pillar of Jor, right after the explosion. Now you need to figure out a way to follow. Seek the aid of some ancient powerful being that can help you.",
Quest_6_3,"According to Visken you need to locate an Astral Projection spell scroll. If you do, he will cast it on you in order for you to enter the Pillar.",
Quest_6_4,"You found a Scroll of Astral Projection and gave it to Visken. If you call for him, he will help you enter the Pillar when it is time.",
Quest_6_5,"Olzis suggested that you locate an emerald gemstone. If you do, she will turn it into a <i>Key of Jor</i>.",
Quest_6_6,"You gave the sphinx a gemstone, and she channeled some intense ancient magic into it. Now you have a Key of Jor that will allow you to enter the Pillar, alone or not.",
Quest_6_7,"Ever-Glad offered to guide you into the Pillar, if you accept his job offer.",
Quest_6_8,"You accepted a job offer from the eldritch aberration, and in return he has given you a passphrase that will allow you to enter the Pillar, alone or not.",
Quest_6_9,You entered the Pillar alone.,
Quest_6_10,"You entered the Pillar with Snell, but you seem to have lost him in the darkness.",
Quest_6_11,"You entered the Pillar with Snell and Ettir, but you seem to have lost them in the darkness.",
Quest_7_1,Elven Connection,
Quest_7_2,You found an elven corpse under the tea shop rubble. It's been moved to the Lichhouse for safekeeping.,
Quest_7_3,You used Speak with Dead on the dead elf. Some interesting information was collected. Now it's time to follow other leads. And maybe ask around...,
Quest_7_4,"Visken gave a post-mortem. The elf died from the fire, instantaneously.",
Quest_7_5,Alfoz told you about his deal with Pinja. He claims to be innocent.,
Quest_7_6,"Viira explained their deal with the elven broker. Lisa, a contractor, was sent to handle it.",
Quest_7_7,"An Illym Warden appeared in the night. He explained how the dead elf was a traitor, and he 'apologized' for the inconvenience she caused. You should check on the corpse.",
Quest_7_8,"According to Visken, the elf's corpse was taken by her kin. Whoever found out about her did not want anyone in Norvik to investigate further.",
Quest_8_1,A Freelance Hag,
Quest_8_2,"There was a meeting planned in the tea shop on the day of the explosion - a meeting with a <i>hag</i>. Locate her, and find out what she knows.",
Quest_8_3,The hag known as 'Lisa' is a freelance worker for the Freestriders on Waterlane. Viira claims she does not know her location.,
Quest_8_4,"You convinced Rixbiter to give you the password to her magic well, where the hag is supposed to hang out. It leads down to the City Below...",
Quest_8_5,You found Lisa in the City Below. She claims to be innocent.,
Quest_8_6,Lisa didn't know too much about Drummer's operation. She does not believe he blew up his own tea shop. She does not know who did.,
Quest_8_7,"The hag was a former friend of Pinja'Athena, and was supposed to meet with her on the day of the explosion. She claims the explosion occurred before she arrived.",
