ENGLISH,ITALIAN
"New Game","Nuova Partita"
"Load","Carica"
"Options","Opzioni"
"Credits","Riconoscimenti"
"Exit","Esci"
"Continue","Continua"
"Dialogs","Dialoghi"
"Dialog Text Size","Dimensione Testo Dialoghi"
"Dialog Fonts","Font Dialoghi"
"UI Size","Dimensione UI"
"Colorblind Mode","Modalità Daltonici"
"Visuals","Video"
"Quality","Qualità"
"Display Mode","Modalità Schermo"
"Resolution","Risoluzione"
"Refresh Cap","Limite Refresh"
"Borderless","Senza Bordi"
"Fullscreen","Schermo Intero"
"Windowed","Finestra"
"High","Alto"
"Medium","Medio"
"Low","Basso"
"Audio","Audio"
"Master Volume","Volume Generale"
"Music Volume","Volume Musica"
"Ambient Volume","Volume Ambiente"
"World Volume","Volume Mondo"
"Voice Volume","Volume Voci"
"UI Volume","Volume UI"
"Reset Settings","Ripristina Impostazioni"
"Strength","Forza"
"Dexterity","Destrezza"
"Constitution","Costituzione"
"Intelligence","Intelligenza"
"Wisdom","Saggezza"
"Charisma","Carisma"
"Proficient","Competente"
"Proficiencies","Competenze"
"Randomize","Casuale"
"Return","Torna"
"Pre-Built","Predefinito"
"Background Focus","Focus Background"
"Punching Bag","Sacco da Boxe"
"Lore","Sapere"
"Uses","Utilizzi"
"Role","Ruolo"
"Hit Points","Punti Ferita"
"Saving Throw","Tiro Salvezza"
"Saving Throws","Tiri Salvezza"
"Attack","Attacco"
"Damage","Danno"
"Spell","Incantesimo"
"Spells","Incantesimi"
"Health","Salute"
"Defense","Difesa"
"Skills","Abilità"
"Inventory","Inventario"
"Equipment","Equipaggiamento"
"Defend","Difendi"
"Cast","Lancia"
"Use","Usa"
"Rest","Riposa"
"Wait","Aspetta"
"Move","Muovi"
"Talk","Parla"
"Examine","Esamina"
"Trade","Commercia"
"Buy","Compra"
"Sell","Vendi"
"Steal","Ruba"
"Persuade","Persuadi"
"Intimidate","Intimidisci"
"Journal","Diario"
"Map","Mappa"
"Quest","Missione"
"Quests","Missioni"
"Party","Gruppo"
"Character","Personaggio"
"Characters","Personaggi"
"Difficulty","Difficoltà"
"Easy","Facile"
"Normal","Normale"
"Hard","Difficile"
"Gold","Oro"
"Silver","Argento"
"Copper","Rame"
"Weight","Peso"
"Proficiency Bonus","Bonus Competenza"
"Modifier","Modificatore"
"Score","Punteggio"
"Check","Prova"
"Roll","Tiro"
"Dice","Dado"
"Dice Check","Prova Dado"
"Dice Checks","Prove Dado"
"Advantage","Vantaggio"
"Disadvantage","Svantaggio"
"Success","Successo"
"Failure","Fallimento"
"Wizard","Mago"
"Cleric","Chierico"
"Fighter","Guerriero"
"Rogue","Ladro"
"Ranger","Ranger"
"Paladin","Paladino"
"Bard","Bardo"
"Sorcerer","Stregone"
"Warlock","Warlock"
"Druid","Druido"
"Monk","Monaco"
"Barbarian","Barbaro"
"Huge","Enorme"
"Off","Spento"
"On","Acceso"
"Speed","Velocità"
"Initiative","Iniziativa"
"Level","Livello"
"Experience","Esperienza"
"Which font should I choose?","Quale font dovrei scegliere?"
"Averia Serif","Averia Serif"
"Save Game","Salva Partita"
"Load Game","Carica Partita"
