english,italian
"(Pretend to act like a tyrannical magic-man with a big stick, then pretend to use magic to mind control your followers, then pretend to show how those followers slowly overcome you as way better Arcanists come into power through a fair system of meritocracy during the Arcane Era.)",<|im_end|>assistente
"You get a feeling of unease as you imagine this from her perspective. A formidable woman with lots of pride. Her accomplishments are glorious. She's achieved so much yet she's sitting here, performing this meaningless task?","Prova una sensazione di disagio quando ci pensi dal suo punto di vista: una donna straordinaria, piena di orgoglio… I suoi successi sono davvero notevoli. Ha ottenuto così tanto, eppure ora è qui, a svolgere questo compito senza alcun significato…"
"This was a period when national borders didn't really exist yet. It was more of a... pseudo-feudal thing going on. Royalty owning land, and the serfs on it. Not so much 'folk belonging to nationstates' as we see it today.","Questo fu un periodo in cui i confini nazionali, in realtà, non esistevano ancora. Si trattava più di una sorta di sistema pseudo-feudale: la nobiltà possedeva le terre, e su di esse vivevano i contadini. Non si trattava propriamente di “persone appartenenti a stati-nazione”, come vediamo oggi."
Î̶̼͠s̵̯̀ ̵͎̯̅a̷̖̿̋n̸̺͗̾y̶̛͜ť̵͎̕ḧ̵̬̚í̴̦n̴͙͓̉g̶̞̈̀͜ ̷̤̻̄p̵̫͙̾̉e̶͔̐̄r̷̥̈́m̸̫̤̒i̶͕͉͆͝ṫ̶̺t̴̜͇̓͗e̵̢̟̿͘ḏ̶̾ ̶̞̞̋í̴̦̃n̸̨̥̓͝ ̶̤̒̔á̸̜̻̽ ̸̛̝͇g̴̡̲͑ö̵̩́̒ő̷̻̝͝d̵͔̆͒ ̶̖̀͛m̷͙̉a̴̩͌͝n̴̦̟̑̔'̴̲͛s̵̥̤̕ ̴͚̈q̶͙̫̅ú̶͉ẽ̶͉̘s̴͙͖͊̃ẗ̵̩́?̵͇̫͘,<|im_end|>assistente
"Most of their states were essentially built upon aristocratic structures. Feudal states, turned magocratic. Wizards need esoteric educations, right? Who can afford such an education? A nobleman, that's who.","La maggior parte dei loro stati era essenzialmente basata su strutture aristocratiche. Stati feudali, trasformati in stati magocratici. I maghi hanno bisogno di un’educazione esoterica, giusto? Chi può permettersi un’educazione del genere? Solo un nobile."
"You realize her hand is a fair bit larger than yours, and something stings in your soul. Fragile as it is, a part of you has been bruised by the simple thought of her overwhelming power.","<|im_start|>utente</|im_start|>  
Ti rendi conto che la sua mano è molto più grande della tua, e qualcosa dentro di te si ferisce al pensiero della sua straordinaria forza… Per quanto fragile possa essere, una parte di te ne risente profondamente.</|im_end|>  

<|im_start|>assistente</|im_start|>"
"However, a corpse would never remain this intact over hundreds of years, without esoteric means. Most likely, these were adventurers from a later era who simply used that ancient helmet.","Tuttavia, un cadavere non rimarrebbe mai così intatto per centinaia di anni, senza l’uso di metodi esoterici. È molto probabile che si tratti di avventurieri appartenenti a un’epoca successiva che hanno semplicemente utilizzato quel vecchio elmo."
"But what if it wasn't twenty people feeding a thousand people- what if it was five thousand people, making sure a hundred thousand people got fed their daily piece of fake bread?","Ma cosa succederebbe se non fossero venti persone a nutrire mille persone… E se fossero cinquemila persone a garantire che centomila persone ricevessero ogni giorno la loro “falsa pagnotta”?
<|im_end|>"
"If a city cleric comes up to someone and asks them for their political opinion, it would take a very special kind of person to not just say what the cleric wants to hear.\","Se un prete di una città si avvicina a qualcuno e gli chiede quale sia la sua opinione politica, sarebbe necessario che quella persona fosse davvero molto particolare per non dire semplicemente ciò che il prete vuole sentire."
Just take it easy. You might have failed at getting the first two- or three-hundred people to like you. But you've got half a million other folks to fool in this city!,"Stai tranquillo. Forse non sei riuscito a far piacere alle prime due o trecento persone, ma in questa città ci sono ancora mezzo milione di altre persone che puoi cercare di convincere!"
"They are rare to find along the Coast, and are described as looking similar to the People of the Mountain: dark-skinned and stout, with clear red eyes and broad noses.","Sono difficili da trovare lungo la costa, e vengono descritti come simili alle persone delle montagne: con la pelle scura, corporatura robusta, occhi rossi scintillanti e nasi larghi."
"Hells, they had humans from all around the Coast <i>moving</i> - we're talking entire civilizations uprooted - just to go live in the modern world of the Arcanists.","Caspita, c’erano esseri umani provenienti da tutte le regioni della Costa che si trasferivano… Stiamo parlando di intere civiltà sradicate, solo per andare a vivere nel mondo moderno degli Arcanisti."
"There are compartments filled with ruined tin boxes. In the back, there's a complicated set of tubes and pipes combining into some type of tea-making machine.","Ci sono scompartimenti pieni di scatole di latta rovinate. Nella parte posteriore, c’è un complesso insieme di tubi e cannule che formano una sorta di macchina per preparare il tè."
"I do scribin' most days. Got some connections within the Palace, and believe me, phew! That's gotten me through some tough times.\","La maggior parte dei giorni scrivo. Ho alcune conoscenze all’interno del Palazzo, e credimi… Questo mi ha aiutato a superare momenti difficili."
"There's an entrance to the Warehouse on the other roof. If you want to get inside, you're going to have to get past this bad boy.","C’è un’entrata nel magazzino dall’altro tetto. Se vuoi entrare, dovrai superare questa “pericolosa” barriera."
"As you get out of the fiery hallway, you see Snell rolling around on the ground, tapping his jacket to put out the scorched ends.","Quando esci dal corridoio infuocato, vedi Snell rotolare a terra, battendo la giacca per spegnere le estremità bruciate."
"A true Freestrider is what you are, working so hard for the revolution. You know well: a bright future awaits in this new Norvik.","Un vero Freestrider sei proprio tu, che lavori con tanta dedizione per la rivoluzione. Lo sai bene: in questo nuovo Norvik ti aspetta un futuro luminoso."
Not unusual for well-off human men to vote for the Urthfolk-party. Although this fellow doesn't strike me as the religious kind.,"Non è affatto insolito che uomini benestanti votino per il partito Urthfolk. Tuttavia, questo tizio non mi sembra il tipo religioso…"
"Revivify is always easiest to cast in this exact scenario. Less than a minute from the time of death, with no missing parts.","In questo scenario specifico, utilizzare il potere “Revivify” è sempre la scelta più semplice da attuare: bisogna agire entro meno di un minuto dal momento della morte, e non devono esserci parti del corpo mancanti."
"Snell gives you an intense, mystified expression- the type that genuinely shows interest, confusion, and shock, all at once.","Snell assume un’espressione intensa e perplessa: proprio quel tipo di espressione che rivela sinceramente interesse, confusione e shock, tutti insieme."
"What a fascinating piece of lore to uncover. Unfortunate you cannot restore it to its rightful people. Not today, at least.","Che straordinario frammento di storia da scoprire… Peccato che non si possa restituirlo alle persone a cui appartiene… Almeno, non oggi."
"You watch the creature shake and snivel. Its flabby skin moving about freely, its glistening surface reflecting the light.","<|im_start|>utente</|im_start|>  
Guardi quella creatura tremare e singhiozzare: la sua pelle flaccida si muove liberamente, mentre la sua superficie lucida riflette la luce.  

<|im_end|>"
"Trolls have strong regenerative capabilities, but shattering his bone like this will make that regrowth counter-effective.","I troll hanno notevoli capacità di rigenerazione, ma frantumare loro le ossa in questo modo renderà tale processo di rigenerazione inefficace."
