ID,ENGLISH,ITALIAN
FEAT_LONE_STR,"Lone Cleric - At the start of your Short Rest, heal an additional amount equal to the levels of exhaustion you have.",
FEAT_MEMORIZER_INT,"Master Memorizer - During your Short Rest, you restore two random spell slots instead of one.",
FEAT_COMPANY_CHA,"Friendly Company - During Short Rests, always roll Hit Die with advantage. Snell also gains an extra proficiency in his initiative rolls.",
FEAT_PARANOIA_DEX,Infectious Paranoia - Advantage on initiative rolls.,
FEAT_SURVIVAL_CON,Survival of the Fittest - Advantage on Death Saving Throws.,
FEAT_EYE_CHA,Reading the Room - Advantage on behold checks.,
FEAT_LUCK_CHA,"Luck of the Fool - Whenever you roll a natural 1, reroll the d20 and take 1d4 damage. If the new result is also a natural 1, repeat this processes. This damage cannot take you below 1 HP.",
FEAT_MUSH_DEX,"Dungeoneering Reflexes - Whenever you roll 10 or below, add an extra proficiency to the roll.",
FEAT_PROF_STR,"Professional Cleric - You cannot critically fail. (When you roll a natural 1, it is not treated as an automatic failure.)",
FEAT_BALANCE_INT,"Curved, Yet Balanced Bell - Whenever any d20 is rolled, the Strings of Jor causes the outcome to lean towards 10. The chance of critical rolls are diminished.",
FEAT_BELLY_CON,Dark Belly of the Soul - Resistance to all damage when below 50% HP.,
FEAT_HJARTA_WIS,Hjârtat Mitt - Each level of exhaustion grants +1 to each d20 roll instead of -1.,
FEAT_MAN_STR,"A Good Man - Whenever you survive a death saving throw, you get back up with 1d20 HP.",
FEAT_FRAGILE_DEX,"Fragile Immortality - Do not roll Death Saving Throws. Whenever you are above 1 HP and take damage that would take you to 0, you go to 1. If you take any damage at 1, you die.",
FEAT_DREAM_INT,"Imperial Dream - While speaking with someone with less intelligence than yourself, gain an extra proficiency on all d20 rolls.",
FEAT_LIE_CHA,"Beautiful Lie - While you are at full health and 0 exhaustion, gain advantage on all Charisma d20 rolls.",
FEAT_NAT_STR,Nationalist - Extra proficiency in rolls when speaking with humans.,
FEAT_FRE_DEX,Freestrider - Gain a 10% additional discount in all purchases.,
FEAT_AZG_WIS,"Azgalist - Whenever you take damage, move one step forward on a secret three step counter. On step one, a 'thesis' d20 die is thrown. On step two, if the damage you took is higher than the 'thesis' die, an 'antithesis' d4 die is thrown. On step three, the damage you took is lowered either by 1, or by the 'antithesis' die if that die was rolled during step two. This is 'synthesis', somehow. The next time you take damage, return to step one.",
FEAT_ARC_INT,"Arcanist - When you use up your last spell slot of any level, you roll a 1d100. If the result is lower than your natural intelligence, you regain that spell slot.",
