ID,ENGLISH,ITALIAN
Quest_1_1,The Tea Shop that Blew Up,Il Negozio di Tè che È Esploso
Quest_1_2,Your purpose on Tolstad is to investigate an exploded tea shop. Locate this establishment and gain entry.,Il tuo compito a Tolstad è indagare su un negozio di tè che è esploso. Trova questo luogo e cerca di entrare.
Quest_1_3,"The entrance to the tea shop has been shut by Coinlord Darrow. If you want to enter legally, you need his blessing.","L’ingresso del negozio di tè è stato chiuso dal Signore delle Monete Darrow. Se volete entrare legalmente, avete bisogno della sua autorizzazione."
Quest_1_4,You've managed to get inside the Tea Shop. Time to investigate!,Sei riuscito a entrare nel Negozio di Tè. È ora di indagare!
Quest_1_5,"Clue: You found a magic metal brooch in the ruins. It was half-melted. No normal fire could ever harm a magic item, even a minor one like this.","Indizio: Hai trovato un broccio di metallo magico tra le rovine. Era parzialmente fuso… Nessun fuoco normale potrebbe mai danneggiare un oggetto magico, nemmeno uno così semplice."
Quest_1_6,Clue: You found Kargameshian tea left in the ruined tea press. The state of the machine makes it clear someone was brewing at the time of the explosion.,Indizio: Hai trovato del tè Kargameshian lasciato all’interno della macchina da tè distrutta. Lo stato in cui si trova la macchina dimostra chiaramente che qualcuno stava preparando il tè al momento dell’esplosione.
Quest_1_7,"Clue: The iron door to the back office was blown open after its hinges melted. That means the explosion surely originated from the central chamber, and that it was extremely hot.","Indizio: La porta di ferro che conduceva all’ufficio interno è stata spalancata a causa del scioglimento delle sue serrature. Ciò significa che l’esplosione è sicuramente avvenuta nella camera centrale, e che le temperature lì presenti dovevano essere estremamente elevate."
Quest_1_8,"Clue: You found a copy of The Undercommon, a magical magazine infamous for its indestructible paper.","Indizio: Hai trovato un esemplare di “The Undercommon”, una rivista magica tristemente nota per la sua carta indestruttibile."
Quest_1_9,You found a corpse underneath the rubble. The corpse of an elf. You need to report this to Lady Sageleaf.,Hai trovato un cadavere sotto le macerie… Il cadavere di un elfo. Devi segnalarlo immediatamente a Lady Sageleaf.
Quest_1_10,"You convinced Lady Sageleaf that you're an idiot, thus allowing you to not contradict the city's official statement. On election day, you should speak with the Coinlord. He will be happy.","Hai convinto Lady Sageleaf che sei un idiota, il che ti ha permesso di non contraddire la dichiarazione ufficiale della città. Nel giorno delle elezioni, dovresti parlare con il Signore delle Monete… Sarà felice di farlo."
Quest_1_11,You gave Lady Sageleaf what she needed - evidence to contradict the city's official statement. You've picked a side. The HBT will surely be in your favor now.,Hai dato alla Signora Sageleaf ciò di cui aveva bisogno: prove che contraddicono la dichiarazione ufficiale della città. Hai scelto una parte… Ora l’HBT sicuramente sarà a tuo favore.
Quest_1_12,Now for the crucial part: finding the responsible party. Who brought this Necklace of Fireballs to Norvik? Who used it? And why? You have until the election to figure it out.,Ora arriva la parte cruciale: trovare la persona responsabile. Chi ha portato questo Collare di Palle di Fuoco a Norvik? Chi l’ha utilizzato? E perché? Avete fino all’elezione per scoprirlo.
Quest_2_1,Dragon of Tolstad,Drago di Tolstad
