ID,ENGLISH,ITALIAN
UI_1,New Game,
UI_2,Load,
UI_3,Options,
UI_4,Credits,
UI_5,Exit,
UI_6,,
UI_7,,
UI_8,,
Death_1_1,The Cleric is dead.,
Death_1_2,"Alas, this String will be discarded.",
Death_1_3,"But you can see another, can you not?",
Death_2_1,The Cleric has ceased to be.,
Death_2_2,That happens when you run out of 'health'.,
Death_2_3,"Try to stay intact next time, eh?",
Death_3_1,The Cleric has passed away.,
Death_3_2,This is very sad.,
Death_3_3,"Next, might I suggest avoiding danger?",
Death_4_1,The Cleric is no more.,
Death_4_2,But this feels... off.,
Death_4_3,Wouldn't you agree?,
