F,G2U_ID🔒,OPTIONS🔒,ACTORKEY🔒,ACTORFR🔒,FRENCH🔒,FR COMS🔒,ACTOREN🔒,ENGLISH🔒,NOTES ,DC_JM_EDIT,Date English Modified,,ACTORGE,GERMAN,CF,ACTORSP,SPANISH,CF,ACTORPT,PORTUGUESE,CF,ACTORPL,POLISH,CF,ACTORZH,CHINESE,CF,ACTORJP,Japanese
string,G2U_TYPE,string,string,string,string,,string,string,,,,,,,,,,,,,,,,,,,,string,string
MENUS / UI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ui_demo_title,,,,DECARNATION CONFIDENTIAL DEMO,,,DECARNATION CONFIDENTIAL DEMO,,,,,,,,,,,,,,,,,,,,,『DECARNATION』機密デモ
,ui_demo_infos,,,,"Please do not share this demo without authorization !
This demo is non-commercial and non-public.
Some music tracks are placeholders, for demonstrative purposes only. ",,,"This is an early demo, intended for confidential use only.
Current music tracks are placeholder, for demonstrative purposes only. 
Please do not share without authorization.",,,,,,,,,,,,,,,,,,,,,"こちらは内部使用のみを目的とした早期デモです。
現在使用されている楽曲は、デモンストレーションのみを目的とした暫定的なものです。 
正式な許可なく第三者に共有することを禁止します。"
,ui_contact,,,,"Contact: Quentin De Beukelaer 
utilite@gmail.com",,,"Contact: Quentin De Beukelaer 
utilite@gmail.com",,,,,,,,,,,,,,,,,,,,,"連絡先：Quentin De Beukelaer 
utilite@gmail.com"
,ui_select_confirm,,,,"Choisir: Haut/Bas
Valider: Entrer/Espace",,,"Select: Up/Down
Confirm: Enter/SpaceBar ",,,,,,"Auswählen: Auf/Ab
 Bestätigen: Enter/Leertaste",,,"Elegir: arriba/abajo
Confirmar: Intro/espacio",,,"Selecionar: Para cima/Para baixo
Confirmar: Enter/Espaço ",,,"Wybierz: Dół/Góra
 Potwierdź: Enter/Spacja",,,"选择：上/下
  确认：回车/空格",,,"選択：上／下
確定：Enter／Space "
,ui_press_a_key,,,,Appuyez sur Entrer/Espace.,,,Press Enter/SpaceBar.,,,,,,Enter/Leertaste drücken,,,Pulsa Intro/espacio.,,,Aperte Enter/Espaço,,,Wciśnij Enter/Spację.,,,按回车/空格。,,,Enter／Spaceを押してください。
,,,,,Appuyez sur nife,,,fezze,,,,,,,,,"Move: Up/Down/Left/Right
Interact: Enter/SpaceBar",,,"Move: Up/Down/Left/Right
Interact: Enter/SpaceBar",,,,,,,,,fezze
,ui_save_choice,,,,"Déplacement: Haut/Bas/Gauche/Droite
Interaction: Entrer/Espace",,,"Move: Up/Down/Left/Right
Interact: Enter/SpaceBar",,,,,,,,,Choose a save,,,Choose a save,,,,,,,,,"Move: Up/Down/Left/Right
Interact: Enter/SpaceBar"
,,,,,Choisissez une sauvegarde,,,Choose a save,,,,,,,,,Press shift + L to skip a scene.,,,Press shift + L to skip a scene.,,,,,,,,,セーブデータを選択
,ui_cheat_skipscene,,,,Appuyez sur Maj + L pour passer une scène.,,,Press shift + L to skip a scene.,,,,,,,,,,,,,,,,,,,,,shift + Lで場面をスキップします。
,ui_start,,,,Commencer,,,Start,,,,,,Start,,,Inicio,,,Começar,,,Start,,,开始,,,スタート
,ui_return,,,,Retour,,,Return,Added by Greg,,,,,Zurück,,,Atrás,,,Voltar,,,Powrót,,,返回,,,戻る
,ui_continue,,,,Continuer,,,Continue,Line,,,,,Weiter,,,Continuar,,,Continuar,,,Kontynuuj,,,继续,,,続ける
,ui_quit,,,,Quitter,,,Quit,Catcher,,,,,Beenden,,,Salir,,,Sair,,,Zamknij,,,退出,,,やめる
,ui_credits,,,,Crédits,,,Credits,Thrower,,,,,Credits,,,Créditos,,,Créditos,,,Twórcy,,,开发人员,,,クレジット
,ui_main_menu,,,,Menu Principal,,,Main menu,,,,,,Hauptmenü,,,Menú principal,,,Menu principal,,,Główne menu,,,主菜单,,,メインメニュー
