ID,ENGLISH,ITALIAN
BG_AKZEL_5,Archeologist,Archeologo
BG_ALFOZ_3,Foreman,Caposquadra
BG_ARN_1,Child Worker,Lavoratore Minore
BG_AVIK_1,Proletariat,Proletariato
BG_BOND_15,Demi-Lich,Demigoblin
BG_BORGO_13,Paladin,Paladino
BG_BRAXO_2,Scribe,Scrittore
BG_BRR_4,Ranger,Cacciatore Selvaggio
BG_CHAMAR_2,Cleric,Chierico
BG_DARROW_3,Coinlord,Signore delle Monete
BG_DRUMMER_1,Entrepreneur,Imprenditore
BG_ETTIR_10,Angel,Angelo
BG_EVER_18,Trifler,Incompetente
BG_FREY_5,Noble,Nobile
BG_GORM_12,Paladin,Paladino
BG_GOUR_9,Frost Troll,Troll del Ghiaccio
BG_ISK_16,Wizard,Stregone
BG_IVCX_15,Decayed Solar,Sole in Decadenza
BG_JEHANNE_1,Factory Worker,Lavoratore in Fabbrica
BG_KRAAID_11,Barbarian,Barbaro
BG_KULL_7,Warden,Guardiano
BG_LISA_6,Hagling,Contrattazioni
BG_MASKED_5,Assassin,Assassino
BG_MERI_6,Writer,Scrittore
BG_MISKA_17,Chieftain,Capo Tribù
BG_MODISSA_2,Writer,Scrittore
BG_MOONGORE_3,Fighter,Guerriero
BG_NEARLY_1,Bard,Bardo
BG_NESSAN_6,Druid,Druido
BG_OLZIS_14,Gynosphinx,Gynosphinx
BG_OST_9,Rogue,Ladro di Strada
BG_OYU_2,Entrepreneur,Imprenditore
BG_PINJA_2,Sorcerer,Stregone
BG_RAZZ_8,Rogue,Ladro di Strada
BG_RIX_3,Entrepreneur,Imprenditore
BG_ROLLO_1,Unemployed,Disoccupato
BG_SHEN_1,Scholar,Studioso
BG_SIMII_2,Factory Worker,Lavoratore in Fabbrica
BG_SMARTER_1,Rogue,Ladro di Strada
BG_SNELL_3,Rogue,Ladro di Strada
BG_SNURRE_4,Scholar,Studioso
BG_STEN_1,Unemployed,Disoccupato
BG_THAL_3,Entrepreneur,Imprenditore
BG_TOLI_1,Unemployed,Disoccupato
BG_UNMASKED_5,Warlock,Stregone
BG_URTH_20,Cleric,Chierico
BG_NISSE_1,Unemployed,Disoccupato
BG_VIIRA_4,Fighter,Guerriero
BG_VISKEN_17,Entrepreneur,Imprenditore
BG_XERBA_1,Service Worker,Lavoratore di Servizio
IP_AKZEL_5_DEX,"This, right here, is the fourth pillar of the feudal system. A spelunking, delving, digging, roaming, true-blooded <i>ADVENTURER</i>.","Questo, proprio questo, è il quarto pilastro del sistema feudale: un vero e proprio <i>AVVENTURIERE</i>, pronto a esplorare, scavare, vagabondare…"
IP_AKZEL_10,"Though he's seen a lot of shit in his days, Akzel still has his glowing eyes set on the next prize - the true reward of a live on the trail - a <i>hoard</i>.","Anche se nei suoi anni ha visto molte cose orribili, Akzel continua a puntare con determinazione verso il prossimo obiettivo: la vera ricompensa di chi vive alla ricerca di tesori… un <i>tesoro nascosto</i>."
IP_AKZEL_15,"He will find it, one day, some day. But not this day. Perhaps you will see him again? Who are you kidding, of course you will.","Lo troverà, un giorno… Ma non oggi. Forse lo rivedrai? Scherzi? Certo che lo rivedrai."
IP_AKZEL_20,"His expertise in the City Below is not for nothing. You should keep him close. He'll be real useful if you ever wanna get into that freelance dungeoneering business. Seriously, there's a lot of money in that!","La sua esperienza nella Città Sotterranea non è certo casuale… Dovreste tenerlo vicino a voi. Sarà davvero utile se mai vorrete intraprendere attività legate alle esplorazioni di dungeon in modo indipendente. Sul serio, ci sono un sacco di soldi in gioco!"
IP_ALFOZ_5_CON,He stands by his ideals with gut and little else.,"Si attiene ai suoi ideali con tutto il cuore, e nient’altro."
IP_ALFOZ_10,A push will earn his respect. That is his way.,Un gesto di incoraggiamento gli guadagnerà il suo rispetto. È così che fa lui.
